 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  1.16E+14 cm-2s-1
  35.5   6.37E-11 9.45E-10 1.31E-05 1.29E-10 5.65E-10 1.74E-09 1.90E-05 9.49E-06 6.14E-09 7.90E-12
  37.5   5.92E-11 2.14E-09 1.33E-05 2.45E-10 6.53E-10 1.18E-09 1.63E-05 8.14E-06 5.64E-09 5.16E-12
  39.5   5.32E-11 4.91E-09 1.35E-05 4.39E-10 7.38E-10 8.09E-10 1.31E-05 6.56E-06 5.19E-09 3.54E-12
  41.5   4.66E-11 1.08E-08 1.36E-05 6.81E-10 8.41E-10 6.27E-10 1.01E-05 5.05E-06 4.93E-09 2.74E-12
  43.5   3.99E-11 2.08E-08 1.36E-05 8.90E-10 9.49E-10 5.40E-10 7.57E-06 3.79E-06 5.00E-09 2.40E-12
  45.5   3.37E-11 3.52E-08 1.35E-05 1.03E-09 1.04E-09 4.77E-10 5.61E-06 2.80E-06 5.51E-09 2.22E-12
  47.5   2.83E-11 5.44E-08 1.34E-05 1.13E-09 1.11E-09 4.19E-10 4.17E-06 2.09E-06 6.52E-09 2.12E-12
  49.5   2.27E-11 7.75E-08 1.33E-05 1.22E-09 1.19E-09 3.88E-10 3.28E-06 1.64E-06 8.10E-09 1.96E-12
  51.5   1.83E-11 1.06E-07 1.31E-05 1.31E-09 1.27E-09 3.68E-10 2.61E-06 1.30E-06 1.07E-08 1.82E-12
  53.5   1.45E-11 1.38E-07 1.28E-05 1.44E-09 1.38E-09 3.74E-10 2.15E-06 1.07E-06 1.46E-08 1.65E-12
  55.5   1.17E-11 1.74E-07 1.26E-05 1.60E-09 1.54E-09 4.00E-10 1.75E-06 8.75E-07 2.08E-08 1.48E-12
  57.5   9.52E-12 2.13E-07 1.23E-05 1.84E-09 1.76E-09 4.49E-10 1.39E-06 6.93E-07 3.03E-08 1.34E-12
  59.5   7.80E-12 2.54E-07 1.20E-05 2.17E-09 2.08E-09 5.35E-10 1.06E-06 5.32E-07 4.45E-08 1.21E-12
  61.5   6.39E-12 2.97E-07 1.16E-05 2.64E-09 2.54E-09 6.73E-10 7.94E-07 3.97E-07 6.49E-08 1.07E-12
  63.5   4.90E-12 3.27E-07 1.13E-05 3.27E-09 3.11E-09 9.17E-10 6.48E-07 3.24E-07 9.34E-08 8.83E-13
  65.5   5.51E-12 3.93E-07 1.09E-05 4.16E-09 4.00E-09 1.21E-09 4.35E-07 2.17E-07 1.33E-07 7.63E-13
  67.5   1.09E-11 4.47E-07 1.05E-05 5.51E-09 5.29E-09 1.74E-09 3.04E-07 1.52E-07 1.88E-07 6.42E-13
  69.5   2.66E-11 4.99E-07 1.01E-05 7.77E-09 7.38E-09 2.69E-09 2.05E-07 1.03E-07 2.62E-07 5.26E-13
  71.5   5.57E-11 5.67E-07 9.61E-06 1.13E-08 1.05E-08 4.07E-09 1.38E-07 6.88E-08 3.57E-07 4.20E-13
  73.5   9.58E-11 6.89E-07 9.05E-06 1.60E-08 1.43E-08 5.63E-09 9.33E-08 4.67E-08 4.86E-07 3.18E-13
  75.5   1.42E-10 9.06E-07 8.36E-06 2.11E-08 1.78E-08 6.84E-09 6.63E-08 3.31E-08 6.69E-07 2.17E-13
  77.5   1.86E-10 1.29E-06 7.54E-06 2.57E-08 2.01E-08 7.21E-09 4.91E-08 2.45E-08 9.21E-07 1.31E-13
  79.5   2.14E-10 1.83E-06 6.60E-06 3.42E-08 2.37E-08 6.73E-09 3.38E-08 1.69E-08 1.25E-06 6.79E-14
  81.5   2.61E-10 1.37E-05 5.46E-06 1.30E-08 9.52E-09 3.14E-09 9.14E-08 4.57E-08 1.69E-06 2.59E-14
  83.5   1.56E-10 1.23E-04 4.32E-06 3.21E-09 1.78E-09 9.42E-10 3.52E-07 1.76E-07 2.20E-06 8.98E-15
  85.5   7.00E-11 4.81E-04 3.35E-06 1.49E-09 4.92E-10 2.73E-10 7.37E-07 3.68E-07 2.72E-06 3.09E-15
  87.5   3.39E-11 1.27E-03 2.57E-06 8.24E-10 1.66E-10 7.80E-11 1.03E-06 5.13E-07 3.26E-06 1.07E-15
  89.5   1.94E-11 2.63E-03 1.97E-06 4.85E-10 6.45E-11 2.20E-11 1.19E-06 5.93E-07 3.81E-06 3.71E-16
  91.5   1.13E-11 4.72E-03 1.50E-06 2.78E-10 2.72E-11 6.08E-12 1.10E-06 5.49E-07 4.37E-06 1.30E-16
  93.5   7.31E-12 7.60E-03 1.15E-06 1.59E-10 1.24E-11 1.66E-12 9.37E-07 4.69E-07 4.94E-06 4.59E-17
  95.5   5.18E-12 1.13E-02 8.87E-07 9.00E-11 6.03E-12 4.50E-13 7.35E-07 3.67E-07 5.50E-06 1.65E-17
  97.5   3.95E-12 1.57E-02 7.10E-07 4.97E-11 3.07E-12 1.26E-13 5.28E-07 2.64E-07 6.06E-06 6.24E-18
  99.5   3.26E-12 2.06E-02 6.07E-07 2.69E-11 1.63E-12 4.85E-14 3.49E-07 1.75E-07 6.61E-06 3.15E-18
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
 
Alt(km)  CH3QOH   CH3OQ    CH3QO    N2Q      NQ       NOQ      HNOQ     HNO2Q    HOQNO2   HO2NOQ  
   0.5   1.27E-09 8.62E-12 8.62E-12 2.96E-07 3.78E-12 1.63E-11 5.43E-14 1.98E-10 3.28E-13 3.28E-13
   1.5   1.27E-09 8.47E-12 8.47E-12 2.96E-07 4.68E-12 1.88E-11 7.32E-14 3.02E-10 8.30E-13 8.30E-13
   2.5   1.18E-09 8.10E-12 8.10E-12 2.96E-07 5.81E-12 2.19E-11 9.78E-14 4.37E-10 2.18E-12 2.18E-12
   3.5   9.93E-10 7.20E-12 7.20E-12 2.95E-07 7.46E-12 2.61E-11 1.30E-13 5.74E-10 5.85E-12 5.85E-12
   5.5   5.60E-10 4.81E-12 4.81E-12 2.95E-07 1.21E-11 3.37E-11 2.03E-13 7.84E-10 3.74E-11 3.74E-11
   7.5   2.69E-10 2.86E-12 2.86E-12 2.95E-07 1.46E-11 2.91E-11 1.90E-13 8.56E-10 1.06E-10 1.06E-10
   9.5   1.11E-10 1.45E-12 1.45E-12 2.95E-07 2.26E-11 3.00E-11 2.44E-13 9.07E-10 1.25E-10 1.25E-10
  11.5   2.49E-11 5.37E-13 5.37E-13 2.94E-07 4.47E-11 4.11E-11 4.08E-13 1.12E-09 8.52E-11 8.52E-11
  13.5   4.72E-12 3.17E-13 3.17E-13 2.91E-07 7.95E-11 1.00E-10 4.61E-13 2.22E-09 8.09E-11 8.09E-11
  15.5   1.69E-12 1.95E-13 1.95E-13 2.82E-07 1.44E-10 3.02E-10 5.53E-13 5.37E-09 1.28E-10 1.28E-10
  17.5   1.27E-12 1.61E-13 1.61E-13 2.65E-07 2.29E-10 7.03E-10 6.81E-13 1.07E-08 2.29E-10 2.29E-10
  19.5   1.57E-12 1.75E-13 1.75E-13 2.42E-07 3.22E-10 1.25E-09 8.63E-13 1.76E-08 3.75E-10 3.75E-10
  21.5   2.67E-12 2.38E-13 2.38E-13 2.17E-07 4.15E-10 1.89E-09 1.11E-12 2.47E-08 5.48E-10 5.48E-10
  23.5   5.19E-12 3.73E-13 3.73E-13 1.90E-07 5.18E-10 2.63E-09 1.47E-12 3.15E-08 7.34E-10 7.34E-10
  25.5   9.15E-12 5.72E-13 5.72E-13 1.63E-07 6.74E-10 3.66E-09 2.10E-12 3.70E-08 8.92E-10 8.92E-10
  27.5   1.34E-11 8.14E-13 8.14E-13 1.35E-07 9.49E-10 5.26E-09 3.29E-12 4.08E-08 9.86E-10 9.86E-10
  29.5   1.57E-11 1.06E-12 1.06E-12 1.08E-07 1.45E-09 7.63E-09 5.71E-12 4.17E-08 9.52E-10 9.52E-10
  31.5   1.47E-11 1.27E-12 1.27E-12 8.24E-08 2.34E-09 1.05E-08 1.05E-11 3.95E-08 7.54E-10 7.54E-10
  33.5   1.15E-11 1.48E-12 1.48E-12 5.99E-08 3.83E-09 1.33E-08 1.91E-11 3.38E-08 4.68E-10 4.68E-10
  35.5   7.90E-12 1.69E-12 1.69E-12 4.17E-08 6.09E-09 1.46E-08 3.10E-11 2.54E-08 2.28E-10 2.28E-10
  37.5   5.16E-12 1.90E-12 1.90E-12 2.85E-08 8.98E-09 1.34E-08 4.50E-11 1.65E-08 8.97E-11 8.97E-11
  39.5   3.54E-12 2.17E-12 2.17E-12 1.93E-08 1.20E-08 9.95E-09 5.67E-11 8.88E-09 2.95E-11 2.95E-11
  41.5   2.74E-12 2.44E-12 2.44E-12 1.32E-08 1.42E-08 6.02E-09 5.56E-11 3.71E-09 8.96E-12 8.96E-12
  43.5   2.40E-12 2.66E-12 2.66E-12 9.11E-09 1.49E-08 3.26E-09 4.11E-11 1.26E-09 2.76E-12 2.76E-12
  45.5   2.22E-12 2.85E-12 2.85E-12 6.44E-09 1.45E-08 1.75E-09 2.54E-11 3.96E-10 8.93E-13 8.93E-13
  47.5   2.12E-12 3.06E-12 3.06E-12 4.65E-09 1.37E-08 9.65E-10 1.45E-11 1.24E-10 3.02E-13 3.02E-13
  49.5   1.96E-12 3.05E-12 3.05E-12 3.41E-09 1.26E-08 5.48E-10 8.66E-12 4.33E-11 1.15E-13 1.15E-13
  51.5   1.82E-12 3.02E-12 3.02E-12 2.54E-09 1.16E-08 3.19E-10 5.21E-12 1.61E-11 4.59E-14 4.59E-14
  53.5   1.65E-12 2.78E-12 2.78E-12 1.93E-09 1.05E-08 1.93E-10 3.39E-12 6.80E-12 2.06E-14 2.06E-14
  55.5   1.48E-12 2.50E-12 2.50E-12 1.49E-09 9.53E-09 1.22E-10 2.26E-12 3.15E-12 9.96E-15 9.96E-15
  57.5   1.34E-12 2.23E-12 2.23E-12 1.17E-09 8.62E-09 8.26E-11 1.53E-12 1.60E-12 5.22E-15 5.22E-15
  59.5   1.21E-12 1.96E-12 1.96E-12 9.24E-10 7.79E-09 6.13E-11 1.06E-12 9.04E-13 3.05E-15 3.05E-15
  61.5   1.07E-12 1.68E-12 1.68E-12 7.35E-10 7.05E-09 5.00E-11 7.51E-13 5.77E-13 1.98E-15 1.98E-15
  63.5   8.83E-13 1.17E-12 1.17E-12 5.88E-10 6.41E-09 4.56E-11 6.16E-13 4.55E-13 1.62E-15 1.62E-15
  65.5   7.63E-13 1.04E-12 1.04E-12 4.70E-10 5.89E-09 4.14E-11 4.10E-13 3.26E-13 1.12E-15 1.12E-15
  67.5   6.42E-13 8.12E-13 8.12E-13 3.72E-10 5.47E-09 4.15E-11 3.11E-13 2.64E-13 9.11E-16 9.11E-16
  69.5   5.26E-13 6.07E-13 6.07E-13 2.89E-10 5.14E-09 4.47E-11 2.52E-13 2.39E-13 8.23E-16 8.23E-16
  71.5   4.20E-13 4.42E-13 4.42E-13 2.21E-10 4.88E-09 4.75E-11 2.08E-13 2.16E-13 7.29E-16 7.29E-16
  73.5   3.18E-13 3.19E-13 3.19E-13 1.62E-10 4.66E-09 4.44E-11 1.63E-13 1.70E-13 5.36E-16 5.36E-16
  75.5   2.17E-13 2.15E-13 2.15E-13 1.09E-10 4.43E-09 3.44E-11 1.18E-13 1.10E-13 3.09E-16 3.09E-16
  77.5   1.31E-13 1.31E-13 1.31E-13 6.47E-11 4.19E-09 2.20E-11 7.71E-14 5.66E-14 1.38E-16 1.38E-16
  79.5   6.79E-14 7.03E-14 7.03E-14 3.18E-11 3.90E-09 1.30E-11 5.28E-14 2.50E-14 5.33E-17 5.33E-17
  81.5   2.59E-14 2.17E-14 2.17E-14 1.10E-11 3.55E-09 1.12E-12 1.13E-14 6.26E-15 6.34E-18 6.34E-18
  83.5   8.98E-15 1.10E-14 1.10E-14 2.77E-12 3.14E-09 4.86E-14 1.32E-15 1.30E-15 4.33E-19 4.33E-19
  85.5   3.09E-15 7.71E-15 7.71E-15 6.54E-13 2.72E-09 1.20E-14 2.78E-16 2.68E-16 2.99E-20 2.99E-20
  87.5   1.07E-15 6.16E-15 6.16E-15 1.68E-13 2.34E-09 6.23E-15 6.48E-17 5.57E-17 2.11E-21 2.11E-21
  89.5   3.71E-16 5.36E-15 5.36E-15 5.04E-14 2.01E-09 3.68E-15 1.60E-17 1.16E-17 1.51E-22 1.51E-22
  91.5   1.30E-16 4.91E-15 4.91E-15 1.81E-14 1.73E-09 2.17E-15 3.68E-18 2.43E-18 1.12E-23 1.12E-23
  93.5   4.59E-17 4.62E-15 4.62E-15 7.75E-15 1.52E-09 1.32E-15 8.70E-19 5.13E-19 8.51E-25 8.51E-25
  95.5   1.65E-17 4.40E-15 4.40E-15 3.97E-15 1.36E-09 8.26E-16 2.10E-19 1.10E-19 6.89E-26 6.89E-26
  97.5   6.24E-18 4.18E-15 4.18E-15 2.47E-15 1.26E-09 5.34E-16 5.14E-20 2.43E-20 6.14E-27 6.14E-27
  99.5   3.15E-18 3.94E-15 3.94E-15 1.93E-15 1.22E-09 3.58E-16 1.31E-20 7.25E-21 7.60E-28 7.60E-28
Alt(km)  CH3QOH   CH3OQ    CH3QO    N2Q      NQ       NOQ      HNOQ     HNO2Q    HOQNO2   HO2NOQ  
 
Alt(km)  NO2Q     N2O4Q    N2QO4    OQ       SQ       SOQ      H2SO3Q   HSQ      COQ     
   0.5   1.13E-14 7.40E-17 1.85E-17 4.20E-01 4.73E-20 5.52E-11 8.77E-12 6.16E-14 8.00E-04
   1.5   1.31E-14 1.53E-16 3.83E-17 4.20E-01 7.24E-20 9.46E-11 1.75E-11 7.57E-14 8.09E-04
   2.5   1.63E-14 3.52E-16 8.81E-17 4.20E-01 1.09E-19 1.29E-10 2.74E-11 8.81E-14 8.18E-04
   3.5   2.00E-14 8.69E-16 2.17E-16 4.20E-01 1.65E-19 1.60E-10 3.71E-11 1.03E-13 8.27E-04
   5.5   2.44E-14 4.42E-15 1.10E-15 4.20E-01 3.90E-19 2.21E-10 5.32E-11 1.48E-13 8.43E-04
   7.5   2.11E-14 1.19E-14 2.98E-15 4.20E-01 8.66E-19 2.79E-10 5.78E-11 2.17E-13 8.55E-04
   9.5   1.99E-14 4.43E-14 1.11E-14 4.20E-01 1.68E-18 2.84E-10 5.22E-11 2.33E-13 8.62E-04
  11.5   2.26E-14 2.02E-13 5.04E-14 4.20E-01 5.97E-19 1.31E-10 2.53E-11 4.40E-14 8.62E-04
  13.5   3.43E-14 6.71E-13 1.68E-13 4.20E-01 2.63E-20 2.82E-11 3.90E-12 1.97E-15 8.62E-04
  15.5   7.82E-14 3.55E-12 8.88E-13 4.20E-01 1.06E-21 3.40E-12 3.39E-13 2.80E-17 8.62E-04
  17.5   1.85E-13 1.45E-11 3.63E-12 4.20E-01 4.96E-22 3.54E-13 3.02E-14 2.27E-19 8.62E-04
  19.5   3.81E-13 3.89E-11 9.72E-12 4.20E-01 2.85E-22 3.67E-14 3.17E-15 1.41E-21 8.63E-04
  21.5   7.06E-13 7.54E-11 1.89E-11 4.20E-01 1.39E-22 4.11E-15 5.23E-16 8.03E-24 8.63E-04
  23.5   1.24E-12 1.23E-10 3.07E-11 4.20E-01 6.01E-23 4.96E-16 1.05E-15 3.99E-26 8.63E-04
  25.5   2.06E-12 1.79E-10 4.48E-11 4.20E-01 2.50E-23 6.36E-17 1.91E-15 1.67E-28 8.63E-04
  27.5   3.26E-12 2.38E-10 5.95E-11 4.20E-01 1.20E-23 1.02E-17 2.02E-15 4.73E-30 8.63E-04
  29.5   4.75E-12 2.69E-10 6.72E-11 4.20E-01 1.70E-23 5.27E-18 2.03E-15 4.90E-30 8.64E-04
  31.5   6.13E-12 2.33E-10 5.81E-11 4.20E-01 6.10E-23 7.54E-18 2.02E-15 1.28E-29 8.64E-04
  33.5   6.88E-12 1.46E-10 3.65E-11 4.20E-01 2.06E-22 1.20E-17 2.01E-15 3.08E-29 8.64E-04
  35.5   6.61E-12 6.64E-11 1.66E-11 4.20E-01 5.49E-22 1.84E-17 2.00E-15 5.66E-29 8.64E-04
  37.5   5.42E-12 2.21E-11 5.53E-12 4.20E-01 1.22E-21 2.67E-17 1.98E-15 7.98E-29 8.64E-04
  39.5   3.77E-12 5.24E-12 1.31E-12 4.20E-01 2.46E-21 3.85E-17 1.95E-15 9.71E-29 8.64E-04
  41.5   2.17E-12 8.68E-13 2.17E-13 4.20E-01 4.94E-21 5.98E-17 1.91E-15 1.22E-28 8.64E-04
  43.5   1.09E-12 1.16E-13 2.90E-14 4.20E-01 1.00E-20 9.84E-17 1.83E-15 1.65E-28 8.64E-04
  45.5   5.11E-13 1.51E-14 3.77E-15 4.20E-01 1.90E-20 1.57E-16 1.71E-15 2.16E-28 8.64E-04
  47.5   2.39E-13 2.08E-15 5.20E-16 4.20E-01 3.25E-20 2.30E-16 1.56E-15 2.61E-28 8.63E-04
  49.5   1.14E-13 3.34E-16 8.34E-17 4.20E-01 5.66E-20 3.08E-16 1.40E-15 3.07E-28 8.63E-04
  51.5   5.50E-14 5.76E-17 1.44E-17 4.20E-01 9.31E-20 3.84E-16 1.25E-15 4.21E-28 8.63E-04
  53.5   2.77E-14 1.17E-17 2.92E-18 4.20E-01 1.62E-19 4.51E-16 1.11E-15 6.53E-28 8.62E-04
  55.5   1.44E-14 2.64E-18 6.59E-19 4.20E-01 2.80E-19 5.09E-16 9.93E-16 1.13E-27 8.62E-04
  57.5   7.82E-15 6.63E-19 1.66E-19 4.20E-01 4.75E-19 5.58E-16 8.91E-16 2.08E-27 8.62E-04
  59.5   4.56E-15 1.94E-19 4.84E-20 4.20E-01 7.91E-19 6.00E-16 8.05E-16 4.02E-27 8.61E-04
  61.5   2.86E-15 6.64E-20 1.66E-20 4.20E-01 1.30E-18 6.34E-16 7.32E-16 7.96E-27 8.61E-04
  63.5   2.12E-15 3.41E-20 8.53E-21 4.20E-01 2.69E-18 6.59E-16 6.73E-16 2.01E-26 8.61E-04
  65.5   1.36E-15 1.25E-20 3.13E-21 4.19E-01 3.64E-18 6.81E-16 6.23E-16 3.48E-26 8.60E-04
  67.5   9.93E-16 5.79E-21 1.45E-21 4.19E-01 5.51E-18 6.97E-16 5.81E-16 6.97E-26 8.60E-04
  69.5   7.61E-16 3.04E-21 7.59E-22 4.19E-01 7.78E-18 7.09E-16 5.46E-16 1.37E-25 8.59E-04
  71.5   5.75E-16 1.56E-21 3.90E-22 4.19E-01 9.98E-18 7.17E-16 5.16E-16 2.51E-25 8.58E-04
  73.5   3.89E-16 6.25E-22 1.56E-22 4.19E-01 1.19E-17 7.25E-16 4.89E-16 4.06E-25 8.58E-04
  75.5   2.28E-16 1.85E-22 4.61E-23 4.19E-01 1.41E-17 7.32E-16 4.62E-16 6.03E-25 8.56E-04
  77.5   1.14E-16 3.95E-23 9.87E-24 4.19E-01 1.74E-17 7.35E-16 4.35E-16 8.41E-25 8.55E-04
  79.5   5.26E-17 6.75E-24 1.69E-24 4.19E-01 2.01E-17 7.39E-16 4.07E-16 1.15E-24 8.52E-04
  81.5   8.25E-18 4.81E-25 1.20E-25 4.19E-01 6.07E-17 6.65E-16 3.80E-16 1.38E-24 8.49E-04
  83.5   3.73E-19 2.34E-26 5.86E-27 4.18E-01 1.57E-16 4.77E-16 3.54E-16 6.67E-25 8.45E-04
  85.5   7.14E-20 1.14E-27 2.86E-28 4.17E-01 2.30E-16 3.34E-16 3.27E-16 2.71E-25 8.40E-04
  87.5   2.64E-20 5.67E-29 1.42E-29 4.16E-01 2.72E-16 2.49E-16 3.01E-16 1.09E-25 8.33E-04
  89.5   1.10E-20 2.85E-30 7.12E-31 4.14E-01 2.98E-16 1.93E-16 2.74E-16 4.65E-26 8.23E-04
  91.5   4.39E-21 1.47E-31 3.66E-32 4.10E-01 3.13E-16 1.54E-16 2.46E-16 2.07E-26 8.11E-04
  93.5   1.83E-21 7.75E-33 1.94E-33 4.06E-01 3.21E-16 1.22E-16 2.17E-16 9.82E-27 7.94E-04
  95.5   7.86E-22 4.32E-34 1.08E-34 4.00E-01 3.23E-16 9.37E-17 1.87E-16 4.87E-27 7.72E-04
  97.5   3.49E-22 2.65E-35 6.63E-36 3.93E-01 3.18E-16 7.11E-17 1.57E-16 2.49E-27 7.44E-04
  99.5   1.60E-22 2.25E-36 5.63E-37 3.84E-01 3.05E-16 5.59E-17 1.27E-16 1.29E-27 7.09E-04
Alt(km)  NO2Q     N2O4Q    N2QO4    OQ       SQ       SOQ      H2SO3Q   HSQ      COQ     
 
 N =  1  EMAX = 9.80E-01 FOR HSQ     AT Z = 2.85E+06 U = 2.53E-28 RHS =-2.48E-28
 N =  2  EMAX = 3.96E-05 FOR HO2NOQ  AT Z = 8.55E+06 U = 2.99E-20 RHS = 1.18E-24
 N =  3  EMAX = 7.62E-07 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 3.97E-31
 N =  4  EMAX = 7.47E-07 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-3.90E-31
 N =  5  EMAX = 1.04E-09 FOR N2QO4   AT Z = 8.15E+06 U = 1.20E-25 RHS = 1.25E-34
 N =  6  EMAX = 1.41E-09 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-7.35E-34
 N =  7  EMAX = 8.67E-10 FOR N2QO4   AT Z = 8.15E+06 U = 1.20E-25 RHS = 1.04E-34
 N =  8  EMAX = 1.17E-09 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 6.09E-34
 N =  9  EMAX = 3.52E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 1.84E-34
 N = 10  EMAX = 2.00E-09 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-1.04E-33
 N = 11  EMAX = 1.97E-09 FOR N2QO4   AT Z = 8.15E+06 U = 1.20E-25 RHS = 2.37E-34
 N = 12  EMAX = 1.02E-10 FOR HOQ     AT Z = 9.95E+06 U = 1.63E-12 RHS =-1.66E-22
 N = 13  EMAX = 4.39E-10 FOR N2QO4   AT Z = 8.15E+06 U = 1.20E-25 RHS = 5.28E-35
 N = 14  EMAX = 7.56E-10 FOR N2QO4   AT Z = 8.15E+06 U = 1.20E-25 RHS =-9.09E-35
 N = 15  EMAX = 4.54E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-2.37E-34
 N = 16  EMAX = 7.87E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 4.11E-34
 N = 17  EMAX = 7.93E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-4.14E-34
 N = 18  EMAX = 6.67E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 3.48E-34
 N = 19  EMAX = 4.16E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-2.17E-34
 N = 20  EMAX = 1.75E-09 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 9.15E-34
 N = 21  EMAX = 2.02E-09 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-1.06E-33
 N = 22  EMAX = 8.24E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 4.30E-34
 N = 23  EMAX = 4.55E-11 FOR N2QO4   AT Z = 8.15E+06 U = 1.20E-25 RHS =-5.47E-36
 N = 24  EMAX = 1.91E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-9.97E-35
 N = 25  EMAX = 1.92E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 1.00E-34
 N = 26  EMAX = 3.54E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-1.85E-34
 N = 27  EMAX = 1.34E-09 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-6.97E-34
 N = 28  EMAX = 1.51E-09 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 7.89E-34
 N = 29  EMAX = 9.94E-11 FOR N2QO4   AT Z = 8.15E+06 U = 1.20E-25 RHS = 1.20E-35
 N = 30  EMAX = 4.22E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 2.20E-34
 N = 31  EMAX = 7.40E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-3.86E-34
 N = 32  EMAX = 2.33E-10 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS =-1.22E-34
 N = 33  EMAX = 3.54E-09 FOR N2QO4   AT Z = 8.05E+06 U = 5.22E-25 RHS = 1.85E-33
